trial_number,state,value,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,colsample_bylevel,min_child_weight,gamma,lambda,alpha
88,COMPLETE,0.7212006106471534,792,0.05295899974545682,3,0.7751400092048968,0.9696254885154971,0.9258347874879768,2.872665338276172,0.4018296785421335,0.05950212530900293,0.12182084524401224
89,COMPLETE,0.7130850978087376,885,0.11391716499586846,4,0.8068616574363533,0.9410123270028429,0.9124630216801263,3.521790152489287,0.7268100458910761,0.025210086598603746,0.4442715465165568
90,COMPLETE,0.7209887683471977,852,0.18077701094314835,3,0.7347176514997317,0.99060873694694,0.6218662545171041,3.8676738269791926,0.1360144320653627,0.0198614159503911,0.5855382864497678
91,COMPLETE,0.7256508326057955,953,0.12006341309891978,3,0.8511094723105942,0.9140353187751628,0.9629845236575715,1.6360052252634145,0.5705786744379642,0.0371911237361361,0.14745053098018845
92,COMPLETE,0.7273106622951877,983,0.10433030249460924,3,0.8336416111704634,0.9199246145129105,0.9740808063423674,2.3780458064148435,0.29196824024381396,0.00888175511021496,0.26597134610712503
93,COMPLETE,0.7280600905066434,967,0.10087768184635607,3,0.9065407536645679,0.9251652312847722,0.9649319479459468,2.4042168058804476,0.29749405785438415,0.007462932809113155,0.29311573923299244
94,COMPLETE,0.7247491687710812,966,0.08014003302885249,3,0.9570192961215123,0.9341401665804788,0.933591799849315,2.5216413639601267,0.2806290198004069,0.006567200860187784,0.2782147341953057
95,COMPLETE,0.7261394102650779,999,0.09299289375429132,3,0.9027952402782531,0.9208500410833667,0.7542237536438839,2.3794092936849185,0.13033617049657847,0.00366117885831658,0.750873887256746
96,COMPLETE,0.7266895332193091,943,0.07558876333510543,3,0.870609009620664,0.9523424955130186,0.9634846629310847,4.821953825803147,0.4324957577780169,0.008571783543252115,0.25836995809902213
97,COMPLETE,0.7215344107529993,949,0.046603357774389204,3,0.8663726835895461,0.9528642569565742,0.9900444555465452,4.956241339513773,0.4456254345800772,0.00789013584355742,0.25348052464821735
98,COMPLETE,0.719766592526942,939,0.07319903810922217,4,0.8310696585592067,0.9088709271090462,0.9662428914852429,4.140544399266615,0.0114910983987912,0.011292211452513856,0.3664879117451493
99,COMPLETE,0.7286402384262048,982,0.1026887378235023,3,0.8813722715653668,0.9336264705480257,0.9596717680133103,3.408500039996778,0.7713506775367563,0.005947933247971145,0.21550354389355142
